都道府県,市区,カテゴリ,会社名,住所,電話番号,URL,備考
東京都,千代田区,リサイクルショップ,合同会社スマイルファクトリー,東京都千代田区神田平河町1 第3東ビル601・14号室,050-5319-5360,https://www.smilefactory.tokyo,スマートフォン・携帯電話買取専門
東京都,千代田区,リサイクルショップ,アキバリバティー,東京都千代田区外神田4-7-1 リバティービル,0120-128-825,https://liberty-kaitori.com/,フィギュア・ホビー買取専門
東京都,千代田区,リサイクルショップ,愛書館中川書房 神田神保町本店,東京都千代田区神田神保町2-3-11,0120-489-544,https://www.koshokaitori.com/,古書・古本買取専門
東京都,千代田区,リサイクルショップ,矢口書店,東京都千代田区神田神保町2-5-1,03-3261-5708,https://yaguchishoten.jp/,古書買取・大正7年創業
東京都,千代田区,リサイクルショップ,小宮山書店,東京都千代田区神田神保町1-7,03-3291-0495,https://book-komiyama.co.jp/,古書・美術品買取
東京都,千代田区,リサイクルショップ,長島書店,東京都千代田区神田神保町2-5-1,03-3512-8115,http://www.nagashimasyoten.com/,古書・骨董品買取（明治35年創業）
東京都,中央区,リサイクルショップ,サイ・リサイクル,東京都中央区新川1-28-4 越前堀永谷マンション1407,0120-916-623,,家具・家電・ブランド品出張買取
東京都,中央区,リサイクルショップ,アトランティス銀座店,東京都中央区銀座8-7-2 銀座藤井ビル2,03-6264-5130,https://www.import-atlantis.com/,ブランド品買取
東京都,中央区,リサイクルショップ,銀座大雅堂美術,東京都中央区銀座1-9-8 奥野ビル6F,03-3563-8985,https://taigadou.jp/,骨董品・絵画・茶道具買取
東京都,中央区,リサイクルショップ,銀座 呂藝,東京都中央区銀座1-5-7 6F,03-3562-1301,https://rogei.tokyo/,古布・骨董・着物買取
東京都,港区,リサイクルショップ,諸道具みやた,東京都港区高輪1-27-21,03-3441-4448,https://www.miyata-douguten.com,書画・骨董・古美術買取
東京都,港区,リサイクルショップ,横倉屋三田店,東京都港区芝5-24-2,03-3451-1552,https://www.yokokuraya-mita.com/,質預かり・貴金属等買取
東京都,新宿区,不用品買取,リサイクルステーションわせだ,東京都新宿区西早稲田1-13-2,0120-145-679,https://www.recycle-station.com/,店頭買取・出張買取の両方に対応
東京都,新宿区,リサイクルショップ,ニューワールドヨンイルサ,東京都新宿区大久保2-18-10,03-3208-4989,https://www.newworldyonirusa.com/,家電製品出張買取
東京都,新宿区,リサイクルショップ,古美術永澤,東京都新宿区下落合3-21-1,0120-08-5108,https://www.eizawa.com/,掛軸・日本画・茶道具等買取
東京都,文京区,不用品買取,リサイクルショップ富士中,東京都文京区本郷5-4-7,03-3815-1451,https://www.fujichu.jp/,文京区リサイクル推進協力店認定店
東京都,文京区,不用品買取,LiCS（リックス）,東京都文京区本駒込3-17-6,03-5834-8136,http://lics-tp.com/komagome.html,昭和レトロ家具・楽器・骨董品等を買取
東京都,台東区,リサイクルショップ,ブルジョネ商事株式会社,東京都台東区松が谷3-8-3,0120-527-714,https://taitokukaitori.com/,出張・店頭買取
東京都,墨田区,リサイクルショップ,大石商会,東京都墨田区東向島2-14-1,0120-740-014,,
東京都,江東区,不用品買取,買取専門さくら,東京都江東区住吉1-19-1,03-6659-2666,https://jimalabo.jp/,貴金属・宝石・ブランド品・時計等を買取
東京都,江東区,リサイクルショップ,リサイクル工房サラエ,東京都江東区東砂5-16-3-101,03-5632-6601,,
東京都,江東区,リサイクルショップ,サンフィールド江東店,東京都江東区亀戸4-23-1,03-3682-8460,,
東京都,江東区,リサイクルショップ,生活快館ララ 扇橋店,東京都江東区扇橋3-1-6,03-5725-2902,,
東京都,品川区,リサイクルショップ,LUMBERROOM,東京都品川区荏原3-5-7 1F,03-6421-6408,https://lumberroom635.com/,個人経営のヴィンテージ家具・雑貨買取専門店
東京都,品川区,リサイクルショップ,リサイクルショップティファナ武蔵小山店,東京都品川区荏原3-3-15,03-5749-5557,https://www.tifana.net/musashikoyama/,武蔵小山パルム商店街
東京都,品川区,リサイクルショップ,リサイクルショップZACK戸越店,東京都品川区戸越2-1-3,03-5749-5381,,戸越銀座商店街近く
東京都,目黒区,リサイクルショップ,リサイクルブティックABC都立大学店,東京都目黒区平町1-25-15,03-5731-5811,https://www.re-abc.com/,運営元は国立市だが目黒区内に実店舗
東京都,目黒区,リサイクルショップ,ブランドコレクション自由が丘,東京都目黒区自由が丘2-11-7,03-5731-3888,https://bc-jiyugaoka.com/,自由が丘で約20年の実績
東京都,大田区,不用品買取,リサイクルハウス,東京都大田区蒲田本町2-4-1,03-6424-7761,https://recycle-house.com/,京急蒲田駅徒歩4分・古物商許可番号確認済み
東京都,大田区,不用品買取,リサイクルショップ樅の木,東京都大田区鵜の木2-27-1,03-3758-0807,https://hp.omisenomikata.jp/shop/8202129/,鵜の木駅近くの地域密着リサイクルショップ
東京都,世田谷区,リサイクルショップ,TOKYO RECYCLE imption,東京都世田谷区千歳台2-46-10 1F,0120-987-565,https://tokyo-recycle.net/,デザイナーズ・北欧家具専門
東京都,世田谷区,不用品買取,リサイクル・ヤング,東京都世田谷区経堂1-38-3,03-5426-2771,https://www.recycle-co.jp/,経堂駅近くの地域密着型リサイクルショップ
東京都,世田谷区,リサイクルショップ,Recycle Gallery NEWS 世田谷店,東京都世田谷区世田谷3-1-1,03-5451-0741,,
東京都,渋谷区,リサイクルショップ,安藤商店 笹塚店,東京都渋谷区笹塚1-59-15,03-5990-6654,https://www.andoshouten-kaitori.com/,骨董品・ブランド品・古着買取の個人経営店
東京都,渋谷区,リサイクルショップ,NEWS INDIGO,東京都渋谷区笹塚2-22-2,03-5304-0356,,デザイナーズ・ヴィンテージ家具中心の買取販売店
東京都,中野区,リサイクルショップ,リサイクルショップ ティファナ東中野店,東京都中野区東中野3-9-10,03-5338-0551,https://www.tifana.net/higashinakano/,中野発祥の古着・家具買取店
東京都,杉並区,リサイクルショップ,リサイクルショップ かっぱ堂本店,東京都杉並区久我山5-24-32,03-3331-1068,https://www.kappado.biz/,富士見ヶ丘駅近くの個人経営リサイクルショップ
